154 	| [102] 	| -2.3305622929763086 	| -2.0785100676192556 	| -2.0068093259671427
155 	| [105] 	| -1.6608036892384057 	| -1.1595049290111175 	| -1.3405224450698159
156 	| [106] 	| -3.1039631655841395 	| -2.457149831576108 	| -2.694482570000192
157 	| [103] 	| -2.539520664445075 	| -2.250220538991736 	| -1.9476115763377884
158 	| [104] 	| -0.5712874007644173 	| -1.0085907565443475 	| -0.9873843821281927
159 	| [111] 	| -1.0536902159704924 	| -0.9164380793705644 	| -1.197392823719472
160 	| [105] 	| -3.5506440143263305 	| -2.7405715012747223 	| -3.205327273963198
161 	| [102] 	| -1.1585265144911652 	| -1.5114604913302125 	| -1.146841516853607
162 	| [104] 	| -1.1562940443720326 	| -1.1495961457128214 	| -1.1554293655248902
163 	| [103] 	| -3.5476721005419702 	| -2.811709771376626 	| -3.1204120188192306
164 	| [106] 	| -0.6747015412447621 	| -1.2576865331397935 	| -1.0113034070447293
165 	| [102] 	| -2.5038107565543033 	| -2.2658599652073015 	| -2.405885714471824
166 	| [105] 	| -0.8556840299571271 	| -1.1541328964739135 	| -1.2179821891475724
167 	| [111] 	| -1.116312061206252 	| -0.9015501201424361 	| -0.8927736814572007
168 	| [106] 	| -3.4297528578032352 	| -3.0294803935234826 	| -3.2145793820776336
169 	| [104] 	| -2.066133754508021 	| -1.8666995171015963 	| -2.079617699883256
170 	| [105] 	| -2.10153068710854 	| -1.7953436848569442 	| -1.7452208601073986
171 	| [103] 	| -1.9523526927248553 	| -1.437246219776437 	| -1.3756427633082053
172 	| [111] 	| -0.8253758850724737 	| -0.8251393777728016 	| -1.116834246233058
173 	| [102] 	| -2.3178110824479248 	| -1.9207592783553211 	| -2.385772355129176
174 	| [106] 	| -2.1369749732461427 	| -2.126292288935805 	| -1.8823319847076054
175 	| [104] 	| -1.7551302250960092 	| -1.6011881203518703 	| -1.5327220644661521
176 	| [111] 	| -3.7045074438092387 	| -2.1964705516721343 	| -2.595031919762441
177 	| [103] 	| -1.6149722517301486 	| -1.824668425995574 	| -1.8123573159755013
178 	| [102] 	| -2.604233422338016 	| -2.035394703700053 	| -2.0344248792529562
179 	| [105] 	| -1.2574913463160229 	| -1.5408368767179794 	| -1.7218203662171687
180 	| [106] 	| -3.047663934044396 	| -2.9677933751219667 	| -2.873104166721375
181 	| [111] 	| 0.6482064954613627 	| 0.8555021022920613 	| 0.031324571994667316
182 	| [104] 	| -1.74106924052868 	| -1.2134332776820422 	| -2.1010094984357397
183 	| [105] 	| -2.3167605083606713 	| -2.437034179534023 	| -2.4301060939293255
184 	| [103] 	| -0.7213441472048572 	| -1.4848280656676833 	| -1.1827334428199516
185 	| [102] 	| -1.3722749706188442 	| -1.3096065488883322 	| -1.542402774760248
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
1 			| 1 				| 1 					| 1 
------------------ Run 1 Trial 4  (total trials: 4/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
186 	| [102] 	| -0.20274346710158708 	| -1.197058992616916 	| -0.9325789345879287
187 	| [101] 	| -1.9909976753373386 	| -1.9105144307841042 	| -2.1405768822131885
188 	| [103] 	| -1.640538515872978 	| -1.836357375663553 	| -1.6582741882437637
