INFO:root:New log file
INFO:root:Trained all three classifiers on the calibration data.
INFO:root:Online simulation starts
INFO:root:Number of online trials: 10, which is 1.6666666666666667 runs
INFO:root:------------------ Run 1 Trial 2  (total trials: 1/10) ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:175 	| [105] 	| -3.0653375637179394 	| -1.546273346166565 	| -1.6762781424828392
INFO:root:176 	| [106] 	| -2.12601050984053 	| -1.680159659318602 	| -1.679073274707081
INFO:root:177 	| [113] 	| -4.833660969246381 	| -2.4650422697014447 	| -2.5382184974725073
INFO:root:178 	| [101] 	| -0.29870391610676306 	| -1.07626924823784 	| -0.7855126621857556
INFO:root:179 	| [104] 	| -1.1911089212448 	| -1.1734623176371541 	| -1.3393240116110046
INFO:root:------------------ End of trial ------------------
INFO:root:{real_word} 	| {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
INFO:root:3 	| 1 	| 3 	| 3 
INFO:root:------------------ Run 1 Trial 4  (total trials: 3/10) ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:180 	| [105] 	| -2.093777834886503 	| -1.995684163498301 	| -2.046977424050848
INFO:root:181 	| [102] 	| -1.6743205509415966 	| -1.7305875908018873 	| -1.6670476611914657
INFO:root:182 	| [103] 	| -0.7112668488158704 	| -1.6810402639869195 	| -1.59897523822277
INFO:root:183 	| [106] 	| -3.6322558502149946 	| -1.8461185812171061 	| -1.9507913915432138
INFO:root:184 	| [114] 	| -1.074117292786243 	| -1.5211671050686195 	| -1.5261974967901675
INFO:root:185 	| [101] 	| -1.4505136610148202 	| -1.3963380807560237 	| -1.3151313330914884
INFO:root:186 	| [106] 	| -0.4076368509106656 	| -1.327478138304105 	| -1.4241683544931536
INFO:root:187 	| [102] 	| -1.563265570598539 	| -2.513038831500009 	| -2.089628995077713
INFO:root:188 	| [114] 	| -2.72261471806478 	| -1.0590611279475926 	| -0.9271993634751765
INFO:root:189 	| [101] 	| -2.4758152480947357 	| -1.3822165373556081 	| -1.4121122124154488
INFO:root:190 	| [103] 	| -2.5603437392621458 	| -2.0017697707936843 	| -2.093292799308662
INFO:root:191 	| [105] 	| -1.392194523209139 	| -1.670341053766245 	| -1.6624613376456883
INFO:root:192 	| [102] 	| -1.1130934269752153 	| -1.6166128611370838 	| -1.537998872383294
INFO:root:193 	| [106] 	| -1.8235730691386345 	| -1.5630276822533187 	| -1.5395781895452543
INFO:root:194 	| [105] 	| -1.1982055849887114 	| -1.8150003174122264 	| -1.8352014504601137
INFO:root:195 	| [114] 	| -4.013699147487416 	| -1.5736856143001532 	| -1.4988416758243028
INFO:root:196 	| [101] 	| -0.656366981379374 	| -1.7464225712525059 	| -1.823910806285351
INFO:root:197 	| [103] 	| -1.6388356522096337 	| -1.7328086912051275 	| -1.9029946533571158
INFO:root:198 	| [105] 	| -2.192199577232251 	| -1.4334221401726939 	| -1.4634494097941684
INFO:root:199 	| [114] 	| -1.5206433357363038 	| -1.881523075024261 	| -1.8665591795778882
INFO:root:200 	| [101] 	| -1.9658098011329 	| -1.205438797952215 	| -1.0202449823690465
INFO:root:201 	| [103] 	| -2.711208778662323 	| -2.0655343921870863 	| -2.107362742295723
INFO:root:202 	| [102] 	| -1.5277873251227494 	| -1.6565563765052473 	| -1.6400821408271837
INFO:root:203 	| [106] 	| -0.23917490570392919 	| -1.1188258134629891 	| -0.9496546443942366
INFO:root:204 	| [114] 	| -3.666424037416239 	| -2.0574746669904647 	| -2.1838635756316034
INFO:root:205 	| [105] 	| -3.2371856351894523 	| -1.8392203485978644 	| -1.7927302705920716
INFO:root:206 	| [106] 	| -1.5743147141570586 	| -1.6772156273939232 	| -1.8416119017158188
INFO:root:207 	| [101] 	| -1.5018076211084932 	| -1.449670638354024 	| -1.4212559462669394
INFO:root:208 	| [102] 	| -1.8817527521427804 	| -1.652124727756816 	| -1.558487938487348
INFO:root:209 	| [103] 	| -2.9757339809894927 	| -2.0403698251373976 	| -2.1330781793496008
INFO:root:210 	| [106] 	| -3.512868078671216 	| -2.05341459697235 	| -2.226895703043735
INFO:root:211 	| [105] 	| -1.6579440986667229 	| -1.5875868865753135 	| -1.3669396177776592
INFO:root:212 	| [103] 	| -4.428940002630911 	| -2.750467713158589 	| -3.0011514249586795
INFO:root:213 	| [114] 	| -3.4300482929440843 	| -1.3599554223026893 	| -1.3741043851480392
INFO:root:214 	| [101] 	| -2.021029091397968 	| -1.755074706309973 	| -1.7576762477018317
INFO:root:215 	| [102] 	| -0.7435016989145646 	| -1.6430750319665226 	| -1.6133619528237026
INFO:root:216 	| [114] 	| -3.3958053432607023 	| -1.941626555876578 	| -2.09733180991863
INFO:root:217 	| [106] 	| -2.560486111900647 	| -2.1038181534882927 	| -2.102882179911503
INFO:root:218 	| [102] 	| -1.165095320192991 	| -1.5484728062594757 	| -1.4524843782897277
INFO:root:219 	| [103] 	| -1.963363373025577 	| -1.4259914450961604 	| -1.463536084615626
INFO:root:220 	| [101] 	| -2.9409227947510423 	| -1.9572503374322887 	| -2.0926928832856317
INFO:root:221 	| [105] 	| -1.8403930355183915 	| -1.8281705450532508 	| -1.8304534031412174
INFO:root:222 	| [102] 	| -3.077129052127855 	| -1.864184227160724 	| -1.9967841832816682
INFO:root:223 	| [101] 	| -0.8787043786826325 	| -1.3013612781536197 	| -1.2510159868532853
INFO:root:224 	| [105] 	| -4.761391404354528 	| -2.3619322513058507 	| -2.576413215694581
INFO:root:225 	| [114] 	| -1.331184691514814 	| -2.0770977051355426 	| -2.2454926219739013
INFO:root:226 	| [106] 	| -0.6413502776398405 	| -1.5001903316867446 	| -1.4725855205170948
INFO:root:227 	| [103] 	| -1.8362534093611436 	| -1.6498656133237337 	| -1.654424706208404
INFO:root:228 	| [114] 	| -1.776129272957102 	| -1.4336196074115546 	| -1.446020878118166
INFO:root:229 	| [102] 	| -3.486674582113669 	| -1.9215160453232443 	| -2.0986722614807345
INFO:root:230 	| [105] 	| -2.4707594072132406 	| -1.730668259053776 	| -1.7916044552790185
INFO:root:231 	| [101] 	| -0.8409536936186099 	| -1.6659984118428994 	| -1.6705061839746151
INFO:root:232 	| [106] 	| -1.5500840543574972 	| -1.9553923488175597 	| -2.1597657414307783
INFO:root:233 	| [103] 	| -3.4479676014108236 	| -1.317894231135051 	| -1.3441558064109822
INFO:root:234 	| [105] 	| -1.9005089476496875 	| -1.5731454724135165 	| -1.4215199599881903
INFO:root:235 	| [102] 	| -2.3365919212031168 	| -2.073592033396406 	| -2.1918344934527316
INFO:root:236 	| [103] 	| -1.730336889203341 	| -2.126105589896538 	| -2.148670599648438
INFO:root:237 	| [106] 	| -3.706147705753297 	| -2.1205003523865535 	| -2.1787025832692866
INFO:root:238 	| [101] 	| -2.4434629316292087 	| -1.174833800106586 	| -1.1368232066525326
INFO:root:239 	| [114] 	| -2.778667272755368 	| -2.106889611583206 	| -2.2283571535647906
INFO:root:240 	| [105] 	| -3.4183909460869657 	| -1.6912932024764697 	| -1.7213905489721282
INFO:root:241 	| [106] 	| -1.9632916985091726 	| -1.847711390705495 	| -1.9919699277478697
INFO:root:242 	| [101] 	| -2.8911128197297815 	| -1.7446732007526626 	| -1.698639866402015
INFO:root:243 	| [102] 	| 2.078571069807533 	| -0.9963602870652357 	| -0.8772277662347191
INFO:root:244 	| [103] 	| -2.1008183739082664 	| -1.9494431879983272 	| -2.0195782598053884
INFO:root:245 	| [114] 	| -3.064280278455281 	| -1.9655629658232165 	| -2.1004213650178256
INFO:root:246 	| [102] 	| -3.3825304258272504 	| -1.8652131227555548 	| -1.886269923779773
INFO:root:247 	| [106] 	| -3.455027830394995 	| -2.581315542325426 	| -2.7069849407705
INFO:root:248 	| [105] 	| -1.5579461067195726 	| -1.5073170350216811 	| -1.52278351130809
INFO:root:249 	| [114] 	| -1.4988994393451651 	| -1.5558179726657806 	| -1.5858703532462035
INFO:root:250 	| [101] 	| -2.6961582451044035 	| -1.6826330343541855 	| -1.7157168999246406
INFO:root:251 	| [103] 	| -2.2063468758918647 	| -1.8826120895292155 	| -1.943836910799977
